Email,Status
"Thank you for applying to the Junior Software Developer position at MSC Technology.
Unfortunately, MSC Technology has moved to the next step in their hiring process, and your application was not selected at this time.",reject
"Thank you for your interest in the Train To Hire - Junior Software Developer position at Mindlance in Chicago, Illinois, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Mindlance.",reject
"eth, 

Thank you for your interest in Exyn and for applying to be apart of our team as a Software Engineer, Product. We appreciate the opportunity to learn more about you and your professional accomplishments.

We were fortunate to have received so many terrific applications.  Although we were impressed with your background, we have decided to move forward with candidates whose skills and experiences are better aligned with that which we're seeking for this particular role.

As Exyn continues to grow, we'll keep your information on file and look forward to reaching out to you when the right opportunity arises.

In the meantime, we wish you much success in your job search and career. 

Best wishes,

The People & Culture team at Exyn Technologies",reject
"Thank you for your interest in the Software Engineer position at Lantana Consulting Group in Vermont, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Lantana Consulting Group.

Regards,

Lantana Consulting Group",reject
"Hi Seth,

Thank you for your interest in PathAI! Unfortunately, the hiring team has decided not to move forward with your candidacy at this time. 

Please feel free to keep in touch and reach out again in the future. You can connect with us on LinkedIN, Twitter, and AngelList. 

We appreciate your time and consideration, and wish you the best of luck with your search.

Take care,

PathAI Hiring Team",reject
"Hi Seth,

     Thank you for taking the time to apply for our Software Engineer I. Given the number of opportunities available for career growth and development we appreciate you considering Chewy.
     We received a large number of applicants for this role and after careful consideration and review we're unfortunately unable to move forward with your candidacy at this time.  

     We have your information on file and will reach out in the future should there be another opportunity we feel is a good match. We wish you all the best in your job search and on your future endeavors.
Kind Regards,

The Chewy Campus Recruiting Team",reject
"Thank you for your interest in the Entry Level Software Developer position at ProSearch in Brunswick, Maine, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in ProSearch.
Regards,
ProSearch",reject
"Thank you for your interest in the Software Engineer position at Shields Health Solutions in Stoughton, Massachusetts, United States.

Unfortunately, Shields Health Solutions did not select your application to move forward in the hiring process.

Regards,
Shields Health Solutions",reject
"Seth,

Thanks for your interest in the Software Engineer position at Concinnate Solutions in Washington, District of Columbia, United States. Unfortunately, we will not be moving forward with your application but we appreciate your time and interest in Concinnate Solutions.

Regards,
Concinnate Solutions",reject
"Thank you for your interest in the Software Engineer position at Silicon Integration Initiative, Inc. in Austin, Texas, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Silicon Integration Initiative, Inc..

Regards,

Silicon Integration Initiative, Inc.",reject
"Thank you for applying to the Java Developer position at Sports Information Analysis.
Unfortunately, Sports Information Analysis has moved to the next step in their hiring process, and your application was not selected at this time.",reject
"Thank you for your interest in RCCo. Unfortunately, at this time we are both hiring for the position of Junior Developer. We will keep your CV on file if the position opens on a future date. We wish you the best in your job search, and the best of the season as well. ",reject
"Thank you for applying to the ENTRY-LEVEL WEB PROGRAMMER position at Oahu Publications, Inc..
Unfortunately, Oahu Publications, Inc. has moved to the next step in their hiring process, and your application was not selected at this time.",reject
"Seth,

Thank you for your interest in our Software Engineer opening. Unfortunately, we have decided to pursue other candidates who are more aligned to our needs at this time. 

We want to highlight that many of our portfolio companies are currently hiring and your skill set may be a match for their needs. Here is the link to a website where all Techstars Portfolio companies post their open jobs around the globe: jobs.techstars.com. 

Thank you again for your interest in an employment opportunity with Techstars, and we wish you the best in your current job search.

Sincerely,
The Techstars Talent Acquisition Team",reject
"Thank you for your interest in the Software Engineer position at Advisor360° in Weston, Massachusetts, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Advisor360°.

Best regards,
Advisor360°",reject
"Thank you for your interest in the iOS Developer UP TO $140K +EQUITY position at Profizi in Jersey City, New Jersey, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Profizi.

Regards,

Profizi",reject
"Thank you for your interest in the Software Engineer position at Decentrix Inc. in Denver Metropolitan Area. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Decentrix Inc..

Regards,

Decentrix Inc.",reject
"Thank you for applying to the Entry Level Developer position at The Nexxus Group.
Unfortunately, The Nexxus Group has moved to the next step in their hiring process, and your application was not selected at this time.",reject
"Hello Seth,

Thank you very much for your interest in our Software Engineer - React/Redux opening. We've had a chance to discuss your background and qualifications with the hiring manager and unfortunately, we have decided to pursue other candidates who appear to match our requirements more closely at this time. Should requirements change on our side or if a similar position opens up, we will not hesitate to contact you.

Thank you again for your time and interest in an employment opportunity with Alteryx, Inc. We wish you the best of luck in your continued search.


Sincerely,
Alteryx Talent Acquisition ",reject
"Thank you for your interest in the Web Developer position at DiversityInc in Woodbridge Township, New Jersey, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in DiversityInc.
Regards,
DiversityInc",reject
"Thank you for applying to the Full Stack Developer position at Test Innovators.
Unfortunately, Test Innovators has moved to the next step in their hiring process, and your application was not selected at this time.",reject
"Thank you for applying to the Backend Developer position at YinzCam, Inc..
Unfortunately, YinzCam, Inc. has moved to the next step in their hiring process, and your application was not selected at this time.",reject
"Thank you for applying to the JavaScript / Ruby on Rails Developer - Remote / Work from Home position at Tithe.ly.
Unfortunately, Tithe.ly has moved to the next step in their hiring process, and your application was not selected at this time.",reject
"eth,

Thanks for your interest in the Mobile Software Developer position at NECS Inc. ( Software for Food Distributors) in Branford, CT. Unfortunately, we will not be moving forward with your application but we appreciate your time and interest in NECS Inc. ( Software for Food Distributors).

Regards,
NECS Inc. ( Software for Food Distributors)",reject
"Thank you for your interest in the Software Engineer, TikTok iOS position at TikTok in Mountain View, California, United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in TikTok.
Regards,
TikTok",reject
"Seth,

Thank you for your interest in the Associate Software Engineer role at HPR. Unfortunately, we have decided not to proceed with your candidacy for the current opening.

Thank you again for your time and interest in HPR. We wish you the very best in your endeavors.

Regards,
HPR Recruiting",reject
"Hi Seth,

Thanks for your interest in Fritz AI. Unfortunately, we are unable to offer you a position at this time. We'll keep your resume on file and reach out if that changes in the future.

Best,
Jameson",reject
"Unfortunately, SoftSages Technology Inc has decided not to move forward with your Software Developer - entry level application at this time. ",reject
"Unfortunately, PatientsLikeMe, LLC has decided not to move forward with your Full Stack Software Engineer application at this time. ",reject
"Thank you for your interest in changing the world with us. We appreciate the opportunity to learn about your skills and accomplishments.
Unfortunately, you were not the most competitive candidate for the Java Developer, Junior role.* Although we can't offer you this position, we'll keep your resume on file for a year—if new opportunities come up that fit your skills and experience, we'll let you know. And please continue to apply to other positions on boozallen.com/careers that inspire and excite you.
 
—Booz Allen Talent Acquisition Team",reject
"Hello Seth,

Thank you for giving us the opportunity to consider you for the position with us at Unity Technologies.  

We have carefully reviewed your experience and qualifications for this position, and unfortunately, we have decided not to move forward with your application at this time. 

Please keep checking our Careers Page, and LinkedIn Company Page, for other opportunities that may be of interest to you. 

We do appreciate your interest in Unity Technologies, and we wish you every success for the future. 

Regards, 

Unity Technologies Recruiting Team",reject
"Thanks for your interest in the Web Designer/Developer Intern/Consultant position at Cannabis Creative Group. We have reviewed your application. Unfortunately, you are not the right fit for the position at this time because we are looking for someone local.

Best of luck in your job search.

Sincerely,
CCG Human Resources",reject
"Thank you for your interest in joining the DICK'S Sporting Goods, Inc. team. We value candidates like you who are committed to excellence and share our passion for sports. Unfortunately, at this time we have decided to move forward with other candidates for the Software Engineering Internship position at Corporate.

 

While this wasn't the best match for you to join our team right now, new opportunities are posted often. We recommend keeping an eye on our career site and applying to future roles that match your experience and skillset. You can also stay-in-the-know about what's happening here and receive job-alerts that match your interests by joining our Talent Community.

 

We wish you every success in your career search.

 

Thank you,

DICK'S Sporting Goods, Inc.",reject
"Thank you for applying to the WordPress Developer/Web Development Intern position at RevoluSun.
Unfortunately, RevoluSun has moved to the next step in their hiring process, and your application was not selected at this time.",reject
"Thank you for your interest in our Developer Internship opening.

We have just recently filled this position, and unfortunately will not be able to move forward with your candidacy at this time.

Should something change on our side (or we get another job opening that matches your background), we will not hesitate to contact you.

Thank you again for your interest in an employment opportunity with Provenir Inc., and we wish you the best in your current job search.

Provenir Human Resources
www.provenir.com",reject
"Thank you for your interest in our UI Software Engineer (open to remote) position.

We were very fortunate to have a strong group of applicants to consider for this role and have recently filled this position. Unfortunately, because this role is no longer available, we will not be moving forward with your application.

New positions open up regularly and we encourage you to visit our careers page and apply to another opening that fits your interests and qualifications.

Thank you again for your interest in New Relic.

Best regards,
The New Relic Talent Acquisition Team",reject
